,Unnamed: 0,Nodes Complet,Edges Complet,Diameter Complet,Density Complet,Cluster biconected Complet,Max degree Complet,Mean degree Complet,Sd degree Complet,Var degree Complet,Mean indegree Complet,Mean outdegree Complet,Mean betweenness Complet,Sd betweenness Complet,Var betweenness Complet,Mean closeness Complet,Sd closeness Complet,Var closeness Complet,Nodes Blondel_C,Edges Blondel_C,Diameter Blondel_C,Density Blondel_C,Cluster biconected Blondel_C,Max degree Blondel_C,Mean degree Blondel_C,Sd degree Blondel_C,Var degree Blondel_C,Mean indegree Blondel_C,Mean outdegree Blondel_C,Mean betweenness Blondel_C,Sd betweenness Blondel_C,Var betweenness Blondel_C,Mean closeness Blondel_C,Sd closeness Blondel_C,Var closeness Blondel_C,C:\Angel\Data_2020\unique\22d0885ac8b41ffccd9310f443822a96618d4894.txt,var betweenness Complet,Nodes Cluster,Edges Cluster,Diameter Cluster,Density Cluster,Cluster biconected Cluster,Max degree Cluster,Mean degree Cluster,Sd degree Cluster,Var degree Cluster,Mean indegree Cluster,Mean outdegree Cluster,Mean betweenness Cluster,Sd betweenness Cluster,var betweenness Cluster,Mean closeness Cluster,Sd closeness Cluster,Var closeness Cluster,C:\Angel\Data_2020\unique\594aaeb67f2dcae2109633eb4a030b79b05fbf04.txt
1366,C:\Angel\Data_2020\unique\39b7035fee406c3511696b41c169d1f744479b65.txt,752.0,1212.0,2.0,0.002146074737229793,121.0,26.0,3.223404255319149,2.7185970193839757,7.390769753803438,1.6117021276595744,1.6117021276595744,0.01196808510638298,0.2333461999833321,0.0544504490466612,0.13535377124299747,0.02705921420439154,0.0007322010733591451,93.0,179.0,7.0,0.041841982234689115,10.0,26.0,3.849462365591398,4.170148148132462,17.390135577372607,3.849462365591398,3.849462365591398,109.25806451612905,180.81355251292592,32693.540772344622,0.3017712739100871,0.03986508147269334,0.0015892247208244778,,,,,,,,,,,,,,,,,,,,
1367,C:\Angel\Data_2020\unique\39ba673ff3ac807c52bba1d16aa1020cc898b207.txt,17.0,22.0,1.0,0.08088235294117647,1.0,5.0,2.588235294117647,1.1757350641945108,1.3823529411764706,1.2941176470588236,1.2941176470588236,0.0,0.0,0.0,0.36695709585133385,0.035660629988093634,0.0012716805311477225,9.0,12.0,3.0,0.3333333333333333,1.0,4.0,2.6666666666666665,1.0,1.0,2.6666666666666665,2.6666666666666665,3.333333333333333,2.75,7.5625,0.5460317460317461,0.01904761904761904,0.0003628117913832195,,,,,,,,,,,,,,,,,,,,
1368,C:\Angel\Data_2020\unique\39c0619637d7b6530ff18fac5246b02a75214a51.txt,1783.0,4177.0,4.0,0.0013146357322838908,86.0,72.0,4.685361749859787,7.075609293965298,50.06424688084811,2.342680874929893,2.342680874929893,2.7902411665731908,26.98942682869778,728.4291605416315,0.16660349246308673,0.02514213988068881,0.0006321271977801228,242.0,431.0,8.0,0.01478001440279826,66.0,29.0,3.5619834710743796,4.96943781851537,24.695312232090807,3.5619834710743796,3.5619834710743796,352.01652892561987,775.1259776667451,600820.2812538275,0.2587765463475823,0.03134603549156138,0.0009825739410382257,,,,,,,,,,,,,,,,,,,,
1369,C:\Angel\Data_2020\unique\39ceb0307ca768d385f72fba64714965f330af68.txt,2292.0,5059.0,4.0,0.0009634406734600756,77.0,188.0,4.4144851657940665,9.453191422110894,89.36282806307098,2.207242582897033,2.207242582897033,2.770506108202443,62.24930694347781,3874.976214943315,0.18588591543670652,0.03202665228962705,0.0010257064568806734,369.0,773.0,8.0,0.011385059502768942,88.0,122.0,4.1897018970189706,10.159959889942526,103.22478496524094,4.1897018970189706,4.1897018970189706,421.23035230352303,1871.9703570209927,3504273.017565304,0.3125836421658851,0.05022523568391968,0.0025225742995052787,,,,,,,,,,,,,,,,,,,,
1370,C:\Angel\Data_2020\unique\39cf8aa84c01fde59ef4b50ae2f87f2a64387af5.txt,4.0,4.0,1.0,0.3333333333333333,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1371,C:\Angel\Data_2020\unique\39e5091dbfdbaaf40a0553b5405673b50697f698.txt,311.0,564.0,4.0,0.005850015558552018,28.0,33.0,3.6270096463022514,4.5510484857076055,20.712042319261485,1.8135048231511253,1.8135048231511253,1.2990353697749195,9.483719447050184,89.94093455035784,0.1482793340376723,0.02459202456138065,0.0006047676720275491,62.0,120.0,6.0,0.06345848757271286,5.0,17.0,3.870967741935484,3.7350088154382415,13.950290851401375,3.870967741935484,3.870967741935484,60.145161290322584,98.33045045307784,9668.877486305197,0.34121254190938777,0.040444860902603165,0.0016357867734309176,,,,,,,,,,,,,,,,,,,,
1372,C:\Angel\Data_2020\unique\39e5b6113b7386cef2548ce2ddb9c8a2c4fb6b32.txt,98.0,156.0,3.0,0.01641068798653482,19.0,14.0,3.1836734693877546,2.6137895180859303,6.831895644855879,1.5918367346938775,1.5918367346938775,0.22448979591836732,1.1171633097804214,1.2480538607195455,0.21674710088898855,0.033897726776173594,0.001149055880592116,21.0,29.0,5.0,0.1380952380952381,5.0,7.0,2.761904761904762,1.729299335128592,2.9904761904761905,2.761904761904762,2.761904761904762,17.761904761904766,20.982960828365396,440.2846451247165,0.3648108899503065,0.04254742697142492,0.0018102835418887368,,,,,,,,,,,,,,,,,,,,
1373,C:\Angel\Data_2020\unique\39e72222831faac23d632b211d536b0775abdc14.txt,1562.0,3919.0,3.0,0.0016072792236500946,12.0,61.0,5.017925736235595,7.499797053815598,56.246955848421145,2.5089628681177976,2.5089628681177976,0.8290653008962868,8.174716118795509,66.82598362289514,0.2350988447649601,0.02470026443817408,0.0006101030633157272,205.0,379.0,8.0,0.018125298900047826,41.0,53.0,3.697560975609756,6.025781529528505,36.31004304160689,3.697560975609756,3.697560975609756,275.2975609756097,661.3042563353084,437323.31944719533,0.2759408740072996,0.03824516013029786,0.0014626922733921252,,,,,,,,,,,,,,,,,,,,
1374,C:\Angel\Data_2020\unique\39f72d3daa4fc90eae55a3a308d9f49d31995406.txt,10.0,12.0,1.0,0.13333333333333333,3.0,4.0,2.4,0.966091783079296,0.9333333333333332,1.2,1.2,0.0,0.0,0.0,0.4539772727272727,0.07454955411861124,0.005557636019283746,4.0,3.0,2.0,0.5,3.0,3.0,1.5,1.0,1.0,1.5,1.5,0.75,1.5,2.25,0.7,0.2,0.04,,,,,,,,,,,,,,,,,,,,
1375,C:\Angel\Data_2020\unique\39fed8fca8c39d25d423737b0de3c75da8eced7c.txt,953.0,2390.0,3.0,0.002634317105646036,14.0,41.0,5.015739769150051,6.514589630195889,42.43987804985583,2.5078698845750256,2.5078698845750256,1.3074501573976915,9.44745193327929,89.25434803162258,0.2291502408482007,0.029542653360887013,0.0008727683676015285,215.0,607.0,7.0,0.0263855683547055,13.0,32.0,5.6465116279069765,6.7350162124432575,45.36044338187351,5.6465116279069765,5.6465116279069765,234.85116279069766,468.2584393342418,219265.96600773983,0.31778832523762324,0.04026913942169719,0.0016216035897640864,,,,,,,,,,,,,,,,,,,,
1376,C:\Angel\Data_2020\unique\3a2ddaaed24c581915c1232d1bfc98e9d571cd0b.txt,5.0,4.0,1.0,0.2,4.0,2.0,1.6,0.5477225575051661,0.3,0.8,0.8,0.0,0.0,0.0,0.5219047619047619,0.11787998816583466,0.01389569160997732,3.0,2.0,2.0,0.6666666666666666,2.0,2.0,1.3333333333333333,0.5773502691896257,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.5773502691896258,0.33333333333333337,0.7777777777777778,0.1924500897298753,0.03703703703703705,,,,,,,,,,,,,,,,,,,,
1377,C:\Angel\Data_2020\unique\3a395550a74b6ab7213c7ea9478b577af05fcc22.txt,519.0,1155.0,3.0,0.004296203718169037,42.0,46.0,4.4508670520231215,6.2558848140462935,39.13609480661504,2.2254335260115607,2.2254335260115607,1.4489402697495184,10.986737571133542,120.70840245695736,0.16437062272992148,0.036938783444251166,0.0013644737223412846,130.0,305.0,7.0,0.03637447823494335,20.0,44.0,4.6923076923076925,7.206635781308535,51.93559928443649,4.6923076923076925,4.6923076923076925,120.26153846153844,321.11567808959325,103115.27871493928,0.3583122660351068,0.05590135645646509,0.003124961653672772,,,,,,,,,,,,,,,,,,,,
1378,C:\Angel\Data_2020\unique\3a3da17340ec8ba10929af3bbceda423ac53e457.txt,3440.0,13734.0,7.0,0.0011609310440433606,18.0,166.0,7.984883720930233,14.873286774634387,221.21465948051417,3.992441860465117,3.992441860465117,52.1860465116279,513.9222873197623,264116.11740397627,0.2783023095644797,0.02853813655232567,0.0008144252378791863,646.0,1749.0,7.0,0.008395132838937289,169.0,71.0,5.4148606811145505,9.080758884506553,82.46018191854465,5.4148606811145505,5.4148606811145505,836.6950464396286,2318.402715651423,5374991.151939893,0.28260565435163704,0.03629011677367012,0.0013169725754466133,,,,,,,,,,,,,,,,,,,,
