,Unnamed: 0,Nodes Complet,Edges Complet,Diameter Complet,Density Complet,Cluster biconected Complet,Max degree Complet,Mean degree Complet,Sd degree Complet,Var degree Complet,Mean indegree Complet,Mean outdegree Complet,Mean betweenness Complet,Sd betweenness Complet,var betweenness Complet,Mean closeness Complet,Sd closeness Complet,Var closeness Complet,Nodes Cluster,Edges Cluster,Diameter Cluster,Density Cluster,Cluster biconected Cluster,Max degree Cluster,Mean degree Cluster,Sd degree Cluster,Var degree Cluster,Mean indegree Cluster,Mean outdegree Cluster,Mean betweenness Cluster,Sd betweenness Cluster,var betweenness Cluster,Mean closeness Cluster,Sd closeness Cluster,Var closeness Cluster
17,unique_2.0\0a68acf8c308e6f17515e83e8edf9873b546cfc6.txt,64,125,1,0.031001984126984124,1,27,3.90625,5.0512256881257,25.514880952380953,1.953125,1.953125,0.0,0.0,0.0,0.3698643427539513,0.03952843992980167,0.0015624975632839385,64,125,1,0.031001984126984124,1,27,3.90625,5.0512256881257,25.514880952380953,1.953125,1.953125,0.0,0.0,0.0,0.3698643427539513,0.03952843992980167,0.0015624975632839385
18,unique_2.0\0a821cd4216e6797f84531f707a8f24a91814821.txt,46,82,2,0.03961352657004831,8,20,3.565217391304348,3.5817573210990132,12.828985507246376,1.7826086956521738,1.7826086956521738,0.7173913043478259,3.3576648200018813,11.27391304347826,0.3238409753169407,0.06977359770000227,0.0048683549360017606,35,69,2,0.05798319327731093,1,20,3.9428571428571435,3.910339665875717,15.290756302521007,1.9714285714285715,1.9714285714285715,0.7714285714285715,3.1816173678854365,10.122689075630252,0.4312818130127447,0.06320711301521749,0.0039951391357184755
19,unique_2.0\0a85c0d224b4ed86f112f4ed0625543fc832bc00.txt,620,1837,4,0.004786596487571004,17,66,5.925806451612903,9.798996610198357,96.02033456667886,2.962903225806452,2.962903225806452,6.4064516129032265,50.79055938978478,2579.680923127255,0.2732608096780727,0.04069244565358501,0.0016558751332699695,583,1773,4,0.005225371788297289,1,66,6.082332761578043,10.017857597187787,100.35747083753307,3.0411663807890217,3.0411663807890217,6.367066895368782,49.672522629935386,2467.3595044214435,0.2920155550799621,0.03624567024851694,0.001313748611764226
20,unique_2.0\0a8b1ca0a2ac50b698cfd927db6033ad1be7541c.txt,2360,7340,7,0.0013184270841566019,9,212,6.220338983050849,9.918049618550915,98.36770823603796,3.1101694915254243,3.1101694915254243,17.87923728813559,171.3603320845542,29364.363412128696,0.2404522876056079,0.02816460280175609,0.0007932448509806871,2350,7329,7,0.0013276813130077988,1,211,6.237446808510637,9.924137632047731,98.48850773982589,3.1187234042553187,3.1187234042553187,17.942553191489363,171.32213739867032,29351.27476284887,0.2407709459128252,0.028102799201205897,0.0007897673229432988
21,unique_2.0\0a8b92c06dfcacdc60ade227deae5cd5283df075.txt,48,72,2,0.031914893617021274,16,10,3.0,2.4056670681025647,5.787234042553193,1.5,1.5,0.2708333333333333,1.316662177925736,1.7335992907801419,0.241166005935192,0.04137570748975738,0.0017119491702779653,18,30,2,0.09803921568627452,1,9,3.333333333333333,2.1693045781865616,4.705882352941177,1.6666666666666667,1.6666666666666667,0.4444444444444444,1.4641689962819189,2.1437908496732025,0.4434277562032195,0.07930984531380776,0.006290051563700114
22,unique_2.0\0a908b577d99dcf2808e3afa2e90c88b8ff77dbc.txt,13,17,1,0.10897435897435898,4,6,2.6153846153846154,1.4455945454184551,2.08974358974359,1.3076923076923077,1.3076923076923077,0.0,0.0,0.0,0.4489767448555255,0.09208661684594878,0.008479945002132578,10,14,1,0.15555555555555556,1,5,2.8,1.0327955589886444,1.0666666666666669,1.4,1.4,0.0,0.0,0.0,0.5076358612446915,0.08968971726394817,0.008044245382886965
23,unique_2.0\0a93c748119f2b68cc93a6f306ac9ebb8511e95a.txt,61,117,3,0.031967213114754096,8,15,3.836065573770492,3.142081729622642,9.872677595628414,1.9180327868852456,1.9180327868852456,1.9344262295081969,7.741379834928257,59.928961748633874,0.3391631953648106,0.055022315940865256,0.003027455251496395,54,110,3,0.038434661076170516,1,14,4.0740740740740735,3.1314102667265504,9.805730258560445,2.0370370370370368,2.0370370370370368,1.9074074074074077,7.193467997488241,51.74598183088749,0.3636955190936607,0.05209062130191127,0.0027134328276191325
24,unique_2.0\0a949b0d7931e2805f7caa4faaf15c0fc4b0a0ce.txt,4294,14979,7,0.0008125683310891281,9,151,6.9767116907312525,13.208885255827772,174.4746497016243,3.4883558453656263,3.4883558453656263,47.6078248719143,587.537365052583,345200.15533293225,0.26180203219397,0.024129893626446595,0.000582251766423628,4286,14971,7,0.000815169303765591,1,151,6.986000933271115,13.216774109670007,174.68311786604346,3.4930004666355576,3.4930004666355576,47.69412039197387,588.082023415009,345840.46626389114,0.2620102358195313,0.02406489698123591,0.0005791192667174972
25,unique_2.0\0a98ca9bd93d19eef5510a94d415ff8b8efb5b88.txt,1059,2674,4,0.002386600762926825,4,53,5.050047214353163,6.329959034443343,40.06838137773089,2.525023607176581,2.525023607176581,2.869688385269122,23.90752385348001,571.5696968047157,0.2298040300165917,0.024910098714288245,0.0006205130179555852,1055,2669,4,0.002400244610915762,1,53,5.059715639810427,6.33753598395347,40.16436234790507,2.5298578199052133,2.5298578199052133,2.880568720379147,23.952191350173425,573.7074704753227,0.2301789501448391,0.02486201311900369,0.0006181196963295117
26,unique_2.0\0a9ea3ae2f9d073c48a769dee1006a9161f07210.txt,20,29,1,0.07631578947368421,5,10,2.9,2.0493901531919194,4.199999999999998,1.45,1.45,0.0,0.0,0.0,0.3455930658078803,0.07383594084417912,0.005451746160345119,10,15,1,0.16666666666666666,1,6,3.0,1.6329931618554518,2.6666666666666665,1.5,1.5,0.0,0.0,0.0,0.5634770183376995,0.07420243382148158,0.005506001185031352
27,unique_2.0\0aa6a0aa13a01334b3577ef7a3f336ed3077c7ea.txt,772,1223,3,0.00205473007936668,122,24,3.16839378238342,2.8626375347517987,8.194693655369854,1.58419689119171,1.58419689119171,0.3069948186528497,2.7315570043359525,7.461403667936803,0.11571173163574228,0.017565229121095538,0.00030853727407658267,610,1024,3,0.0027564671996554413,1,23,3.3573770491803283,2.947847675290189,8.689805916713773,1.6786885245901642,1.6786885245901642,0.3163934426229508,2.3081337102211097,5.327481224259065,0.1242924633916509,0.016267908326794034,0.00026464484132897466
28,unique_2.0\0aae6a07f71617a9490690227d98677f23c0a07e.txt,872,1685,3,0.0022185297928143336,68,57,3.864678899082569,5.2767314220717525,27.843894500679387,1.9323394495412844,1.9323394495412844,0.9610091743119266,11.254790584993014,126.6703111120474,0.1920761109862764,0.03137429055473108,0.0009843461078126881,805,1618,3,0.002499922746515868,1,56,4.019875776397516,5.388591457421602,29.03691789499707,2.009937888198758,2.009937888198758,1.0149068322981367,11.356958171227035,128.98049890300055,0.19911941765162505,0.031137426853196124,0.0009695393510381395
29,unique_2.0\0acfc97d7010697203ee7a0eb9a0047d0d833a77.txt,8,13,1,0.23214285714285715,1,7,3.25,2.3145502494313788,5.357142857142857,1.625,1.625,0.0,0.0,0.0,0.6875,0.19287918745261487,0.03720238095238095,8,13,1,0.23214285714285715,1,7,3.25,2.3145502494313788,5.357142857142857,1.625,1.625,0.0,0.0,0.0,0.6875,0.19287918745261487,0.03720238095238095
